000_md5sum 0x04b3:0x4010 0x14e4:0x165f 0x14e4:0x16d8 0x14e4:0x16dc 0x6011:0x0002 0x6011:0x0003 0x6014:0x0001 0x8086:0x15bb 0x8086:0x37cd 0x8086:0x37d1 0x8086:0x37d2
f340e3e19a6eebd69f260d54473b31fa 1 0 0 0 1 0 0 0 1 0 1
878493c19848b185fe096d2be168a0b0 1 0 0 0 0 0 0 0 0 0 1
a447d9e0ce690aa97f28b2c484e9b7dd 1 0 0 0 1 0 0 0 1 0 1
b0874eb5b7e29bd86eac6ee68bdf339c 0 1 1 0 0 0 0 0 0 0 0
6a990b72a5a4a35ba36b0d02934510c3 0 0 0 0 0 0 1 0 0 0 0
52adaec27f516a67f5237bcd296e04c4 0 0 0 0 0 0 1 0 0 0 0
974aac3a7edf46bec0cefc9d65c27794 0 0 0 0 0 0 1 0 0 0 0
c307bf1c3fd7cbc1f25d54b760973f11 1 0 1 1 0 0 0 0 0 0 0
d40301268cdb94b49f383a73fdc5641e 1 0 1 1 0 0 0 0 0 0 0
75b75e0f3885628a9f5101892ae5b5a8 0 0 0 0 0 0 1 0 0 0 0
dc7fff42a020db31a4987a60596892fb 0 0 0 0 0 0 1 0 0 0 0
b8b4b5876d6fccc6c6545265e10d6be5 0 0 0 0 0 0 0 1 0 0 0
4a71655a4758c9688606f4e3e25a91f1 0 0 0 0 0 1 0 0 0 0 0
0a1e926d9fc5016a144ebf53656a3697 0 0 0 0 0 1 0 0 0 0 0
b74d710449b4126527a6a5d87df21d23 1 0 1 1 1 0 0 0 0 0 0
b6e152cf732ac3afbbf18ac5f2eae6da 1 0 1 1 1 0 0 0 0 0 0
2c06992e9b9aba7db7c3568452c11d10 1 0 0 0 1 0 0 0 1 1 0
f20ae47283aa477431d1cf39198f70ee 0 0 0 0 0 1 0 0 0 0 0
856e57a37fb979452e20e97bd88a3dd3 1 0 0 0 1 0 0 0 1 1 0
d3a38fb57331233c9a22ad5464c97aad 0 0 0 0 0 1 0 0 0 0 0
