000_md5sum 5.3.18-38-default 5.3.18-40-default 5.3.18-45-default 5.3.18-47-default 5.3.18-48-default 5.3.18-50-default 5.3.18-51-default 5.3.18-53-default 5.3.18-54-default 5.3.18-56-default 5.3.18-57-default
9ac3900bdfad10b33d391a5915659a73 0 0 1 0 0 0 0 0 0 0 0
0c1e2705bae8ca3c096ce5ec19fb5e72 0 1 0 0 0 0 0 0 0 0 0
1e16e8fcb829a84f25965b32c7b60859 0 0 0 1 0 0 0 0 0 0 0
2ab25fa3a4b74a66d964a7dffc0cce68 0 0 0 0 1 0 0 0 0 0 0
baaa58c73e5f334d744203b72cf383e2 0 0 0 0 0 1 0 0 0 0 0
c04a7d8443ef9084f745220073e37764 1 0 0 0 0 0 0 0 0 0 0
311b503f6cf58a8445e8370bc3ab893e 0 0 0 0 0 0 1 0 0 0 0
08c04c58743ff755fd9ad68a46b3c302 1 0 0 0 0 0 0 0 0 0 0
795ccfa539fbc978b77be5c6e87b7480 0 0 1 0 0 0 0 0 0 0 0
ee161f4d83315f55a6d63b928e49f726 0 0 0 0 0 0 0 0 0 1 0
d8c3c35dd4df62e4ef84aa74cab0930e 0 0 0 0 0 0 0 0 0 1 0
f5e68e11bbf335423bd6256bcef47f44 0 0 0 0 0 0 0 1 0 0 0
d9d82878f1ba73783eb8c6c3ff8d33c3 0 0 0 0 0 0 0 0 0 0 1
28e9aa4337b79e21a68109abea4436b5 0 0 0 0 0 0 0 0 0 0 1
c1923f008843d141afbdbab034bfbfad 0 0 0 0 0 0 0 0 1 0 0
6b46ea1de3efe3aea4f851a85b62d40c 0 0 0 0 0 0 0 0 0 0 1
