000_md5sum SAPBPP SAPEU SAPEWC SAPEWT SAPP SAPPBR ah0adm ehtadm eniesdbs liblogging-stdlog nrpe root
63ed0a98b98691920ff90ca095a266fd 0 0 1 0 0 0 0 0 0 0 0 0
c848dba8867700e63559d9ca65f8dd36 0 0 1 0 0 0 0 0 0 0 0 0
3bdf60743711576146ffd3df1c401424 0 0 0 0 0 0 0 0 0 0 1 0
b11aab6344815cde37dc2eeccfe99a98 0 0 0 0 0 0 1 0 0 0 0 1
1eca360390c6d3fc173ec801a7c7d610 0 0 0 0 0 0 0 0 0 1 0 0
340fa0c99c8acec05952337def820164 0 0 0 0 1 0 0 0 0 1 0 0
cd6dd1a1f8556e3d9c07e3da75a86606 1 0 0 0 0 0 0 0 0 0 0 0
47f97b1ed4a64f7253cf62bfb632b9c5 0 0 0 0 0 0 0 0 1 0 0 0
af1c6e1781a92296b1e85680acbe6b29 0 0 0 0 0 1 0 0 0 0 0 0
bcec614fda204579225d9523a4f7f6e7 0 1 0 0 0 0 0 0 0 0 0 1
78855d910131f412f64242d2ae1f613a 0 1 0 0 0 0 0 0 0 0 0 1
ba3828567cc40af7c933311e499601e8 0 0 0 1 0 0 0 1 0 0 0 1
