000_md5sum SAPBS SAPCH SAPCP SAPEWP SAPEWS SAPNGP SAPT auditLog csync liblogging-stdlog omsagent
a618f555b007822479b350da9a5df091 0 0 0 0 0 1 0 0 0 0 0
5091fbf547cbdfe37f397767d9f19d0b 0 0 0 0 0 0 0 0 1 0 0
70ad8d68f83e008d6b78affbbe06a5bc 0 0 0 0 0 0 0 0 1 0 0
7f06e4322d1aa173dc96cc1233e1a4e4 0 0 0 0 0 0 0 0 1 0 0
7d239be1afd4e4bd1b11cb102dba360b 0 0 0 0 0 0 0 0 1 0 0
563aac7009a94c461728ec52be30148d 0 0 0 0 0 0 0 1 0 0 0
494b9f2ba7d724f4863a4f56f0b777f8 0 0 0 0 0 0 0 0 1 0 0
b3c62b271c04a2d9cacb62639d133358 0 0 0 0 0 0 0 0 1 0 0
93046ef5a34f8fa3d0bd40c5d8ccc793 0 0 0 0 0 0 1 0 0 0 0
343dc30ca8ddb014a1ea45a50a1fe07e 0 0 0 0 0 0 0 0 0 0 1
613149eba8a2960bae6ef6e203f2b5bb 0 1 0 0 0 0 0 0 0 0 0
988fa1efba97610576bff16012895b0f 0 0 1 0 0 0 0 0 0 0 0
c0c7954eb6e5cef9bc38ca151c0ec32e 0 0 0 0 0 0 0 0 0 1 0
408a4e31986d274b570142d0ef5ad8b2 0 0 0 0 0 0 0 0 0 1 0
3c9d270a47c4e10f51fd1c4aad6f9a13 0 0 0 0 0 0 0 0 0 1 0
7691a3945fbd9385e5baa42b148f34ed 0 0 0 0 0 0 0 0 0 1 0
2f29c31aec14e8114ce6a9971d337869 0 0 0 0 0 0 0 0 1 0 0
bde88466f55c97a9a9011327c0b0edc8 0 0 0 1 1 0 0 0 0 0 0
588af75ebe8522ccaf48f485aceeebf7 0 0 0 0 0 0 0 0 1 0 0
dc13f235c378ac4f5fe77ae7b58e1ac1 1 0 0 0 0 0 0 0 0 0 0
